word;pos;definition
Platter;n.;One who plats or braids.
Platter;n.;A large plate or shallow dish on which meat or other food is brought to the table.
Platter-faced;a.;Having a broad, flat face.
Platting;n.;Plaited strips or bark, cane, straw, etc., used for making hats or the like.
Platy;a.;Like a plate; consisting of plates.
Platy-;;A combining form from Gr. platy`s broad, wide, flat; as, platypus, platycephalous.
Platycephalic;a.;Alt. of Platycephalous
Platycephalous;a.;Broad-headed.
Platycnemic;a.;Of, relating to, or characterized by, platycnemism.
Platycnemism;n.;Lateral flattening of the tibia.
Platycoelian;a.;Flat at the anterior and concave at the posterior end; -- said of the centra of the vertebrae of some extinct dinouaurs.
Platyelminthes;n. pl.;A class of helminthes including the cestodes, or tapeworms, the trematodes, and the turbellarians. Called also flatworms.
Platyhelmia;n. pl.;Same as Platyelminthes.
Platymeter;n.;An apparatus for measuring the capacity of condensers, or the inductive capacity of dielectrics.
Platypod;n.;An animal having broad feet, or a broad foot.
Platypoda;n. pl.;Same as Prosobranchiata.
Platyptera;n. pl.;A division of Pseudoneuroptera including the species which have four broad, flat wings, as the termites, or white-ants, and the stone flies (Perla).
Platypus;n.;The duck mole. See under Duck.
Platyrhine;a.;Having the nose broad; -- opposed to leptorhine.
Platyrhine;n.;One of the Platyrhini.
Platyrhini;n. pl.;A division of monkeys, including the American species, which have a broad nasal septum, thirty-six teeth, and usually a prehensile tail. See Monkey.
Plaud;v. t.;To applaud.
Plaudit;n.;A mark or expression of applause; praise bestowed.
Plauditory;a.;Applauding; commending.
Plausibility;n.;Something worthy of praise.
Plausibility;n.;The quality of being plausible; speciousness.
Plausibility;n.;Anything plausible or specious.
Plausible;a.;Worthy of being applauded; praiseworthy; commendable; ready.
Plausible;a.;Obtaining approbation; specifically pleasing; apparently right; specious; as, a plausible pretext; plausible manners; a plausible delusion.
Plausible;a.;Using specious arguments or discourse; as, a plausible speaker.
Plausibleize;v. t.;To render plausible.
Plausibleness;n.;Quality of being plausible.
Plausibly;adv.;In a plausible manner.
Plausibly;adv.;Contentedly, readily.
Plausive;a.;Applauding; manifesting praise.
Plausive;a.;Plausible, specious.
Played;imp. & p. p.;of Play
Playing;p. pr. & vb. n.;of Play
Play;n.;To engage in sport or lively recreation; to exercise for the sake of amusement; to frolic; to spot.
Play;n.;To act with levity or thoughtlessness; to trifle; to be careless.
Play;n.;To contend, or take part, in a game; as, to play ball; hence, to gamble; as, he played for heavy stakes.
Play;n.;To perform on an instrument of music; as, to play on a flute.
Play;n.;To act; to behave; to practice deception.
Play;n.;To move in any manner; especially, to move regularly with alternate or reciprocating motion; to operate; to act; as, the fountain plays.
Play;n.;To move gayly; to wanton; to disport.
Play;n.;To act on the stage; to personate a character.
Play;v. t.;To put in action or motion; as, to play cannon upon a fortification; to play a trump.
Play;v. t.;To perform music upon; as, to play the flute or the organ.
Play;v. t.;To perform, as a piece of music, on an instrument; as, to play a waltz on the violin.
Play;v. t.;To bring into sportive or wanton action; to exhibit in action; to execute; as, to play tricks.
Play;v. t.;To act or perform (a play); to represent in music action; as, to play a comedy; also, to act in the character of; to represent by acting; to simulate; to behave like; as, to play King Lear; to play the woman.
Play;v. t.;To engage in, or go together with, as a contest for amusement or for a wager or prize; as, to play a game at baseball.
Play;v. t.;To keep in play, as a hooked fish, in order to land it.
Play;n.;Amusement; sport; frolic; gambols.
Play;n.;Any exercise, or series of actions, intended for amusement or diversion; a game.
Play;n.;The act or practice of contending for victory, amusement, or a prize, as at dice, cards, or billiards; gaming; as, to lose a fortune in play.
Play;n.;Action; use; employment; exercise; practice; as, fair play; sword play; a play of wit.
Play;n.;A dramatic composition; a comedy or tragedy; a composition in which characters are represented by dialogue and action.
Play;n.;The representation or exhibition of a comedy or tragedy; as, he attends ever play.
Play;n.;Performance on an instrument of music.
Play;n.;Motion; movement, regular or irregular; as, the play of a wheel or piston; hence, also, room for motion; free and easy action.
Play;n.;Hence, liberty of acting; room for enlargement or display; scope; as, to give full play to mirth.
Playa;n.;A beach; a strand; in the plains and deserts of Texas, New Mexico, and Arizona, a broad, level spot, on which subsequently becomes dry by evaporation.
Playbill;n.;A printed programme of a play, with the parts assigned to the actors.
Playbook;n.;A book of dramatic compositions; a book of the play.
Playday;n.;A day given to play or diversion; a holiday.
Player;n.;One who plays, or amuses himself; one without serious aims; an idler; a trifler.
Player;n.;One who plays any game.
Player;n.;A dramatic actor.
Player;n.;One who plays on an instrument of music.
Player;n.;A gamester; a gambler.
Playfellow;n.;A companion in amusements or sports; a playmate.
Playfere;n.;A playfellow.
Playful;a.;Sportive; gamboling; frolicsome; indulging a sportive fancy; humorous; merry; as, a playful child; a playful writer.
Playgame;n.;Play of children.
Playgoer;n.;One who frequents playhouses, or attends dramatic performances.
Playgoing;a.;Frequenting playhouses; as, the playgoing public.
Playgoing;n.;The practice of going to plays.
Playground;n.;A piece of ground used for recreation; as, the playground of a school.
Playhouse;n.;A building used for dramatic exhibitions; a theater.
Playhouse;n.;A house for children to play in; a toyhouse.
Playing;;a. & vb. n. of Play.
Playmaker;n.;A playwright.
Playmate;n.;A companion in diversions; a playfellow.
Playsome;a.;Playful; wanton; sportive.
Playte;n.;See Pleyt.
Plaything;n.;A thing to play with; a toy; anything that serves to amuse.
Playtime;n.;Time for play or diversion.
Playwright;n.;A maker or adapter of plays.
Playwriter;n.;A writer of plays; a dramatist; a playwright.
Plaza;n.;A public square in a city or town.
Plea;n.;That which is alleged by a party in support of his cause; in a stricter sense, an allegation of fact in a cause, as distinguished from a demurrer; in a still more limited sense, and in modern practice, the defendant's answer to the plaintiff's declaration and demand. That which the plaintiff alleges in his declaration is answered and repelled or justified by the defendant's plea. In chancery practice, a plea is a special answer showing or relying upon one or more things as a cause why the suit should be either dismissed, delayed, or barred. In criminal practice, the plea is the defendant's formal answer to the indictment or information presented against him.
Plea;n.;A cause in court; a lawsuit; as, the Court of Common Pleas. See under Common.
Plea;n.;That which is alleged or pleaded, in defense or in justification; an excuse; an apology.
Plea;n.;An urgent prayer or entreaty.
Pleached;imp. & p. p.;of Pleach
Pleaching;p. pr. & vb. n.;of Pleach
Pleach;v. t.;To unite by interweaving, as branches of trees; to plash; to interlock.
Pleaded;imp. & p. p.;of Plead
Plead;;of Plead
Pled;;of Plead
Pleading;p. pr. & vb. n.;of Plead
Plead;v. t.;To argue in support of a claim, or in defense against the claim of another; to urge reasons for or against a thing; to attempt to persuade one by argument or supplication; to speak by way of persuasion; as, to plead for the life of a criminal; to plead with a judge or with a father.
Plead;v. t.;To present an answer, by allegation of fact, to the declaration of a plaintiff; to deny the plaintiff's declaration and demand, or to allege facts which show that ought not to recover in the suit; in a less strict sense, to make an allegation of fact in a cause; to carry on the allegations of the respective parties in a cause; to carry on a suit or plea.
Plead;v. t.;To contend; to struggle.
Plead;v. t.;To discuss, defend, and attempt to maintain by arguments or reasons presented to a tribunal or person having uthority to determine; to argue at the bar; as, to plead a cause before a court or jury.
Plead;v. t.;To allege or cite in a legal plea or defense, or for repelling a demand in law; to answer to an indictment; as, to plead usury; to plead statute of limitations; to plead not guilty.
Plead;v. t.;To allege or adduce in proof, support, or vendication; to offer in excuse; as, the law of nations may be pleaded in favor of the rights of ambassadors.
Pleadable;a.;Capable of being pleaded; capable of being alleged in proof, defense, or vindication; as, a right or privilege pleadable at law.
Pleader;n.;One who pleads; one who argues for or against; an advotate.
Pleader;n.;One who draws up or forms pleas; the draughtsman of pleas or pleadings in the widest sense; as, a special pleader.
Pleading;n.;The act of advocating, defending, or supporting, a cause by arguments.
Pleadingly;adv.;In a pleading manner.
Pleadings;n. pl.;The mutual pleas and replies of the plaintiff and defendant, or written statements of the parties in support of their claims, proceeding from the declaration of the plaintiff, until issue is joined, and the question made to rest on some single point.
Pleasance;n.;Pleasure; merriment; gayety; delight; kindness.
Pleasance;n.;A secluded part of a garden.
Pleasant;a.;Pleasing; grateful to the mind or to the senses; agreeable; as, a pleasant journey; pleasant weather.
Pleasant;a.;Cheerful; enlivening; gay; sprightly; humorous; sportive; as, pleasant company; a pleasant fellow.
Pleasant;n.;A wit; a humorist; a buffoon.
Pleasantly;adv.;In a pleasant manner.
Pleasantness;n.;The state or quality of being pleasant.
Pleasantries;pl. ;of Pleasantry
Pleasantry;n.;That which denotes or promotes pleasure or good humor; cheerfulness; gayety; merriment; especially, an agreeable playfulness in conversation; a jocose or humorous remark; badinage.
Pleasant-tongued;a.;Of pleasing speech.
